Thread ID: 70308912647380
Fiber ID: 70308914915040
Total: 0.053679
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      0.000     0.000     0.000     0.000        1   IO#read 
  0.03      0.000     0.000     0.000     0.000        4   Exception#initialize 
  0.03      0.033     0.000     0.000     0.033        1   Cucumber::Runtime#before_and_after 
  0.03      0.000     0.000     0.000     0.000        4   Cucumber::LanguageSupport::LanguageMethods#add_transform 
  0.03      0.000     0.000     0.000     0.000        1   Cucumber::Parser::GherkinBuilder::ScenarioBuilder#result 
  0.03      0.000     0.000     0.000     0.000        6   Motivation::MoteDefinitionExpression#motive_instance! 
  0.03      0.000     0.000     0.000     0.000        3   Module#extend_object 
  0.03      0.000     0.000     0.000     0.000        3   Motivation::Mote#scan_preceding_motive_instances 
  0.03      0.000     0.000     0.000     0.000        5   Cucumber::RbSupport::RbTransform#strip_anchors 
  0.03      0.000     0.000     0.000     0.000       11   BasicObject#initialize 
  0.03      0.000     0.000     0.000     0.000        7   <Class::Cucumber::RbSupport::RbStepDefinition>#create_proc 
  0.03      0.000     0.000     0.000     0.000        1   Gherkin::I18n#initialize 
  0.03      0.000     0.000     0.000     0.000        8   Module#append_features 
  0.03      0.035     0.000     0.000     0.035        1   Cucumber::Ast::Features#accept 
  0.03      0.001     0.000     0.000     0.001        2   RSpec::Expectations::ExpectationTarget#to 
  0.03      0.008     0.000     0.000     0.008        1   Gherkin::Parser::Parser#parse 
  0.03      0.000     0.000     0.000     0.000        1   Gherkin::Formatter::TagCountFormatter#scenario 
  0.03      0.000     0.000     0.000     0.000        3   Kernel#proc 
  0.03      0.000     0.000     0.000     0.000       16   Array#== 
  0.03      0.000     0.000     0.000     0.000        2   String#sub! 
  0.03      0.000     0.000     0.000     0.000        2   RSpec::Matchers#expect 
  0.03      0.000     0.000     0.000     0.000        3   Cucumber::Ast::Tags#initialize 
  0.03      0.000     0.000     0.000     0.000        7   Cucumber::LanguageSupport::LanguageMethods#available_step_definition_hash 
  0.03      0.000     0.000     0.000     0.000        1   Cucumber::Runtime#after 
  0.03      0.000     0.000     0.000     0.000        1   Gherkin::Listener::FormatterListener::Stash#feature_element 
  0.03      0.000     0.000     0.000     0.000        1   Cucumber::Cli::Configuration#feature_files 
  0.03      0.002     0.000     0.000     0.002        1   Motivation::Mote#[] 
  0.03      0.000     0.000     0.000     0.000        1   <Module::RSpec::Expectations>#fail_with 
  0.03      0.000     0.000     0.000     0.000        1   Gherkin::Listener::FormatterListener::Stash#feature 
  0.03      0.000     0.000     0.000     0.000        6   <Class::File>#extname 
  0.03      0.009     0.000     0.000     0.009        1   Cucumber::Runtime#features 
  0.03      0.000     0.000     0.000     0.000        5   Exception#set_backtrace 
  0.03      0.000     0.000     0.000     0.000        7   Cucumber::Formatter::Console#empty_messages 
  0.03      0.000     0.000     0.000     0.000        1   Cucumber::Runtime::Results#scenario_visited 
  0.03      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Pretty#initialize 
  0.03      0.000     0.000     0.000     0.000        3   Cucumber::LanguageSupport::LanguageMethods#execute_after_step 
  0.03      0.000     0.000     0.000     0.000        5   Cucumber::RbSupport::RbTransform#convert_captures 
  0.03      0.050     0.000     0.000     0.050        1   Cucumber::Cli::Configuration#build_tree_walker 
  0.03      0.000     0.000     0.000     0.000        7   String#downcase 
  0.03      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::ANSIColor#failed_param 
  0.03      0.000     0.000     0.000     0.000        2   Time#minus_with_duration 
  0.03      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Pretty#exception 
  0.03      0.004     0.000     0.000     0.004        1   Cucumber::Constantize#constantize 
  0.03      0.000     0.000     0.000     0.000        9   Array#push 
  0.03      0.000     0.000     0.000     0.000        2   Gherkin::TagExpression#initialize 
  0.03      0.033     0.000     0.000     0.033        7  *BasicObject#instance_exec 
  0.03      0.000     0.000     0.000     0.000       11   Array#to_a 
  0.03      0.000     0.000     0.000     0.000        4   Cucumber::Formatter::ANSIColor#skipped 
  0.02      0.000     0.000     0.000     0.000        1   Cucumber::FeatureFile#initialize 
  0.02      0.000     0.000     0.000     0.000        1   <Class::Gherkin::I18n>#get 
  0.02      0.007     0.000     0.000     0.007        3  *Cucumber::RbSupport::RbTransform#invoke 
  0.02      0.000     0.000     0.000     0.000        1   RSpec::Matchers::BuiltIn::BaseMatcher#failure_message_for_should 
  0.02      0.001     0.000     0.000     0.001        3   Motivation::Mote#scan_motive_instances 
  0.02      0.000     0.000     0.000     0.000        1   Gherkin::Parser::Parser#initialize 
  0.02      0.001     0.000     0.000     0.001        3   Motivation::Mote#identify_motive_instance 
  0.02      0.000     0.000     0.000     0.000       10   Proc#arity 
  0.02      0.000     0.000     0.000     0.000        6   Motivation::MoteDefinition#add_motive_instance 
  0.02      0.000     0.000     0.000     0.000        1   RSpec::Matchers::Pretty#underscore 
  0.02      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Summary#scenario_summary 
  0.02      0.000     0.000     0.000     0.000       10   Array#pop 
  0.02      0.000     0.000     0.000     0.000        1   RSpec::Matchers::Pretty#name 
  0.02      0.000     0.000     0.000     0.000        1   RSpec::Matchers::Pretty#to_word 
  0.02      0.000     0.000     0.000     0.000        2   Motivation::MotefileBlock#motivator 
  0.02      0.000     0.000     0.000     0.000        1   Cucumber::Ast::Scenario#initialize 
  0.02      0.000     0.000     0.000     0.000        1   Array#find_index 
  0.02      0.000     0.000     0.000     0.000        2   Rational#/ 
  0.02      0.009     0.000     0.000     0.009        1   Motivation::MoteBlock#method_missing 
  0.02      0.000     0.000     0.000     0.000        2   Cucumber::Parser::GherkinBuilder::Builder#comment 
  0.02      0.005     0.000     0.000     0.005        1   Gherkin::Parser::Parser::Machine#build_transition_map 
  0.02      0.000     0.000     0.000     0.000        3   Array#take_while 
  0.02      0.000     0.000     0.000     0.000        1   ActiveSupport::Inflector#constantize 
  0.02      0.004     0.000     0.000     0.004        1   Cucumber::Cli::Configuration#formatter_class 
  0.02      0.000     0.000     0.000     0.000        2   Gherkin::I18n#underscored_iso_code 
  0.02      0.000     0.000     0.000     0.000        3   Kernel#instance_variable_set 
  0.02      0.000     0.000     0.000     0.000        2   Cucumber::Ast::Tags#accept 
  0.02      0.000     0.000     0.000     0.000        3   Kernel#extend 
  0.02      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Pretty#feature_name 
  0.02      0.000     0.000     0.000     0.000        2   Cucumber::Ast::DocString#initialize 
  0.02      0.000     0.000     0.000     0.000        3   Cucumber::StepDefinitionLight#eql? 
  0.02      0.000     0.000     0.000     0.000        3   Cucumber::Parser::GherkinBuilder::Builder#tags 
  0.02      0.000     0.000     0.000     0.000        2   Gherkin::Listener::FormatterListener::Stash#id 
  0.02      0.000     0.000     0.000     0.000        1   Motivation::Proposal::Proposition#value 
  0.02      0.000     0.000     0.000     0.000        2   IO#print 
  0.02      0.037     0.000     0.000     0.037        1   Cucumber::Ast::TreeWalker#visit_features 
  0.02      0.000     0.000     0.000     0.000        4  *Motivation::Mote#mote_definition_resolver 
  0.02      0.000     0.000     0.000     0.000        2   Cucumber::Formatter::Pretty#before_multiline_arg 
  0.02      0.000     0.000     0.000     0.000        3   <Class::Time>#now 
  0.02      0.000     0.000     0.000     0.000        1   Motivation::Motivator#root_mote_block 
  0.02      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Summary#step_summary 
  0.02      0.000     0.000     0.000     0.000        2   SystemExit#initialize 
  0.02      0.000     0.000     0.000     0.000        8   Module#included 
  0.02      0.000     0.000     0.000     0.000        1   <Class::Motivation::Mote>#define 
  0.02      0.001     0.000     0.000     0.001        1   Cucumber::Formatter::Pretty#print_summary 
  0.02      0.000     0.000     0.000     0.000        1   <Class::Motivation::Motive>#can_find_mote_definitions? 
  0.02      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::ANSIColor#passed_param 
  0.02      0.035     0.000     0.000     0.035        1   Cucumber::Ast::TreeWalker#visit_feature_element 
  0.02      0.000     0.000     0.000     0.000        2   RSpec::Expectations::ExpectationTarget#prevent_operator_matchers 
  0.02      0.000     0.000     0.000     0.000        2   Cucumber::Formatter::Pretty#after_tags 
  0.02      0.000     0.000     0.000     0.000        1   <Class::File>#directory? 
  0.02      0.000     0.000     0.000     0.000        4   <Class::Time>#allocate 
  0.02      0.000     0.000     0.000     0.000        4   Cucumber::StepMatch#args 
  0.02      0.000     0.000     0.000     0.000        2   <Class::ActiveSupport::Duration>#=== 
  0.02      0.004     0.000     0.000     0.004        1   Cucumber::Cli::Configuration#formatters 
  0.02      0.033     0.000     0.000     0.033        1   Cucumber::LanguageSupport::LanguageMethods#around 
  0.02      0.000     0.000     0.000     0.000        1   Cucumber::Runtime::FeaturesLoader#check_tag_limits 
  0.02      0.000     0.000     0.000     0.000        1   RSpec::Matchers::Pretty#to_sentence 
  0.02      0.000     0.000     0.000     0.000        2   Cucumber::Formatter::Summary#dump_count 
  0.02      0.000     0.000     0.000     0.000        1   Motivation::Proposal#initialize 
  0.02      0.000     0.000     0.000     0.000        2   Motivation::Mote#initialize 
  0.02      0.000     0.000     0.000     0.000        1   Cucumber::RbSupport::RbLanguage#extend_world 
  0.02      0.002     0.000     0.000     0.002        2   Cucumber::Ast::DocString#accept 
  0.02      0.000     0.000     0.000     0.000        1   Cucumber::Parser::GherkinBuilder::ScenarioBuilder#steps 
  0.02      0.009     0.000     0.000     0.009        1   <Class::Motivation::Motefile>#eval 
  0.02      0.000     0.000     0.000     0.000        4   <Module::Cucumber::RbSupport::RbDsl>#register_rb_transform 
  0.02      0.000     0.000     0.000     0.000        5   Regexp#source 
  0.02      0.034     0.000     0.000     0.033        1   Cucumber::Ast::Scenario#with_visitor 
  0.02      0.000     0.000     0.000     0.000        1   Module#const_reset 
  0.02      0.000     0.000     0.000     0.000        3   <Class::Motivation::Motive>#imethods 
  0.02      0.033     0.000     0.000     0.033        7  *Object#cucumber_run_with_backtrace_filtering 
  0.02      0.007     0.000     0.000     0.007        6  *Cucumber::LanguageSupport::LanguageMethods#execute_transforms 
  0.02      0.000     0.000     0.000     0.000        1   String#constantize 
  0.02      0.000     0.000     0.000     0.000        1   NameError#initialize 
  0.02      0.000     0.000     0.000     0.000        2   Gherkin::Formatter::Model::Step::Builder#doc_string 
  0.02      0.000     0.000     0.000     0.000        1   <Module::RSpec::Matchers>#is_a_matcher? 
  0.02      0.005     0.000     0.000     0.005        1   Gherkin::Parser::Parser::Machine#initialize 
  0.02      0.000     0.000     0.000     0.000        1   Cucumber::Runtime#before 
  0.02      0.001     0.000     0.000     0.001        3   Motivation::Motivator#motive_instance_identifier 
  0.02      0.000     0.000     0.000     0.000        1   Cucumber::Ast::Feature#initialize 
  0.02      0.000     0.000     0.000     0.000        1   Motivation::MotiveBlock#initialize 
  0.02      0.000     0.000     0.000     0.000        1   Gherkin::Formatter::Model::Scenario#replay 
  0.02      0.000     0.000     0.000     0.000        2   RSpec::Matchers::BuiltIn::BaseMatcher#matches? 
  0.02      0.000     0.000     0.000     0.000        5   Module#private 
  0.02      0.000     0.000     0.000     0.000        1   Module#attr_writer 
  0.02      0.000     0.000     0.000     0.000        2   Gherkin::Rubify#rubify 
  0.02      0.000     0.000     0.000     0.000        1   Cucumber::Ast::Location#on_line 
  0.02      0.000     0.000     0.000     0.000        1   Array#extract_options! 
  0.02      0.000     0.000     0.000     0.000        6   Motivation::MoteDsl#add_motive_instance 
  0.02      0.000     0.000     0.000     0.000        2   Gherkin::Formatter::Model::DescribedStatement#initialize 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::LanguageSupport::LanguageMethods#add_hook 
  0.01      0.001     0.000     0.000     0.000        1   Motivation::MotiveInstanceResolver#resolve_motive_instance 
  0.01      0.000     0.000     0.000     0.000        2   Hash#initialize 
  0.01      0.009     0.000     0.000     0.009        1   Motivation::MotefileBlock#eval 
  0.01      0.009     0.000     0.000     0.009        1   Motivation::MoteDsl#eval 
  0.01      0.000     0.000     0.000     0.000        1   RSpec::Matchers::Pretty#name_to_sentence 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::MotefileBlock#root_mote_block 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::RbSupport::RbLanguage#begin_rb_scenario 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::MotiveInstanceFinder#find_motive_instance 
  0.01      0.003     0.000     0.000     0.003        2   Cucumber::Ast::TreeWalker#visit_multiline_arg 
  0.01      0.000     0.000     0.000     0.000        1   RSpec::Matchers::BuiltIn::BaseMatcher#initialize 
  0.01      0.000     0.000     0.000     0.000        4   Array#unshift 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Cli::Configuration#tag_expression 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Parser::GherkinBuilder#language 
  0.01      0.000     0.000     0.000     0.000        1   Kernel#instance_variables 
  0.01      0.000     0.000     0.000     0.000        2   Gherkin::CLexer::En#initialize 
  0.01      0.000     0.000     0.000     0.000        2   Cucumber::Ast::TreeWalker#visit_tags 
  0.01      0.000     0.000     0.000     0.000        2   Cucumber::Formatter::Pretty#after_multiline_arg 
  0.01      0.000     0.000     0.000     0.000        1   <Class::Motivation::Motive>#can_resolve_mote_definitions? 
  0.01      0.001     0.000     0.000     0.001        1   Motivation::Mote#find_mote_definition 
  0.01      0.009     0.000     0.000     0.009        1   Motivation::MotefileBlock#method_missing 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Parser::GherkinBuilder#scenario 
  0.01      0.001     0.000     0.000     0.001        1   Gherkin::Lexer::I18nLexer#create_delegate 
  0.01      0.033     0.000     0.000     0.033        1   Cucumber::Runtime#with_hooks 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Motives::ContextMotive#find_mote_definition 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Mote#resolve 
  0.01      0.000     0.000     0.000     0.000        2   Cucumber::Ast::Comment#empty? 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Console#print_snippets 
  0.01      0.001     0.000     0.000     0.001        2  *Motivation::MoteDefinitionResolver#resolve_mote_definition 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::RbSupport::RbLanguage#create_world 
  0.01      0.033     0.000     0.000     0.033        1   Cucumber::RbSupport::RbHook#invoke 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::HasSteps#source_tags 
  0.01      0.033     0.000     0.000     0.033        1   Cucumber::LanguageSupport::LanguageMethods#execute_around 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::MotefileBlock#motivation 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Runtime::Results#failure? 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::HasSteps#accept_hook? 
  0.01      0.000     0.000     0.000     0.000        1   <Class::IO>#open 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::RbSupport::RbHook#initialize 
  0.01      0.002     0.000     0.000     0.002        1   Object#get_Mote 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Mote#mote_definition_finder 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Runtime#disable_minitest_test_unit_autorun 
  0.01      0.033     0.000     0.000     0.033        1   Cucumber::Ast::TreeWalker#execute 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::Scenario#failed? 
  0.01      0.000     0.000     0.000     0.000        2   <Class::RSpec::Expectations::ExpectationHandler>#check_message 
  0.01      0.000     0.000     0.000     0.000        2   Gherkin::Formatter::Model::DocString#initialize 
  0.01      0.000     0.000     0.000     0.000        2   Numeric#quo 
  0.01      0.000     0.000     0.000     0.000        1   Kernel#Array 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Cli::Options#filters 
  0.01      0.000     0.000     0.000     0.000        1   Array#* 
  0.01      0.000     0.000     0.000     0.000        5   Exception#exception 
  0.01      0.000     0.000     0.000     0.000        1   <Class::File>#dirname 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Listener::FormatterListener#eof 
  0.01      0.000     0.000     0.000     0.000        2   Fixnum#fdiv 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Mote#walk_nodes_to_root 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Formatter::TagCountFormatter#feature 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::RbSupport::RbLanguage#connect_world 
  0.01      0.000     0.000     0.000     0.000        8   Kernel#object_id 
  0.01      0.033     0.000     0.000     0.033        1   Cucumber::Ast::StepCollection#accept 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Lexer::I18nLexer#lang 
  0.01      0.000     0.000     0.000     0.000        1   Array#collect! 
  0.01      0.000     0.000     0.000     0.000        2   Array#[] 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::HasSteps#backtrace_line 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::FeatureFile#encoding_for 
  0.01      0.000     0.000     0.000     0.000        2   Cucumber::Parser::GherkinBuilder::FeatureBuilder#children 
  0.01      0.000     0.000     0.000     0.000        3   Module#extended 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Mote#find_motive_instance 
  0.01      0.000     0.000     0.000     0.000        1   RSpec::Matchers::BuiltIn::BeAnInstanceOf#match 
  0.01      0.005     0.000     0.000     0.005        1   Gherkin::Parser::Parser#push_machine 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Cli::Options#custom_profiles 
  0.01      0.000     0.000     0.000     0.000        1   <Module::Cucumber::RbSupport::RbDsl>#register_rb_hook 
  0.01      0.000     0.000     0.000     0.000        1   Enumerable#all? 
  0.01      0.000     0.000     0.000     0.000        2   Rational#to_f 
  0.01      0.033     0.000     0.000     0.033        1   Cucumber::Ast::TreeWalker#visit_steps 
  0.01      0.000     0.000     0.000     0.000        2   Float#divmod 
  0.01      0.000     0.000     0.000     0.000        1   Array#reject! 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Listener::FormatterListener::Stash#initialize 
  0.01      0.000     0.000     0.000     0.000        4   <Class::Regexp>#allocate 
  0.01      0.033     0.000     0.000     0.033        1   Cucumber::LanguageSupport::LanguageMethods#invoke 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::Feature#indented_name 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Listener::FormatterListener#feature 
  0.01      0.033     0.000     0.000     0.033        1   Cucumber::Runtime::SupportCode#around 
  0.01      0.002     0.000     0.000     0.002        2   Cucumber::Ast::TreeWalker#visit_doc_string 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Pretty#before_feature 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Cli::Configuration#strict? 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Runtime#write_stepdefs_json 
  0.01      0.000     0.000     0.000     0.000        2   Cucumber::Ast::EmptyBackground#failed? 
  0.01      0.000     0.000     0.000     0.000        2   RSpec::Expectations::ExpectationTarget#initialize 
  0.01      0.033     0.000     0.000     0.033        1   Cucumber::Runtime#around 
  0.01      0.001     0.000     0.000     0.001        2  *Motivation::Mote#resolve_mote_definition 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Pretty#before_feature_element 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Motives::ContextMotive#initialize 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::MotefileBlock#root_mote 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Listener::FormatterListener#initialize 
  0.01      0.000     0.000     0.000     0.000        1   RSpec::Matchers::Pretty#expected_to_sentence 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Proposal::Proposition#has_value? 
  0.01      0.000     0.000     0.000     0.000        1   Module#name 
  0.01      0.009     0.000     0.000     0.009        1   Motivation::MoteDsl#eval_motive_block 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::LanguageSupport::LanguageMethods#after 
  0.01      0.000     0.000     0.000     0.000        2   Cucumber::Ast::Comment#initialize 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::RbSupport::RbLanguage#register_rb_hook 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::LanguageSupport::LanguageMethods#before 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::RbSupport::RbDsl#Around 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Proposal::Proposition#call 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Listener::FormatterListener#scenario 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::LanguageSupport::LanguageMethods#after_configuration 
  0.01      0.000     0.000     0.000     0.000        1   <Module::MultiTest>#disable_autorun 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Io#ensure_io 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::TagExpression#evaluate 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Parser::GherkinBuilder#feature 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Mote#motive_instance_finder 
  0.01      0.035     0.000     0.000     0.035        1   Cucumber::Ast::TreeWalker#visit_feature 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::LanguageSupport::LanguageMethods#execute_after 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Formatter::Model::Scenario#initialize 
  0.01      0.009     0.000     0.000     0.009        1   Cucumber::Runtime::FeaturesLoader#features 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Pretty#after_feature_element 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Formatter::Model::Feature#replay 
  0.01      0.002     0.000     0.000     0.002        1   Gherkin::Lexer::I18nLexer#scan 
  0.01      0.000     0.000     0.000     0.000        2   String#initialize 
  0.01      0.000     0.000     0.000     0.000        2   Gherkin::Listener::FormatterListener#doc_string 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::MoteBlock#initialize 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Pretty#before_features 
  0.01      0.000     0.000     0.000     0.000        2   Array#reverse 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Motives::ContextMotive#resolve_mote_definition 
  0.01      0.005     0.000     0.000     0.005        1   Gherkin::Parser::Parser::Machine#transition_map 
  0.01      0.001     0.000     0.000     0.001        1   Cucumber::Parser::GherkinBuilder#result 
  0.01      0.000     0.000     0.000     0.000        1   Array#[]= 
  0.01      0.000     0.000     0.000     0.000        6   NilClass#^ 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Constantize#underscore 
  0.01      0.000     0.000     0.000     0.000        1   RSpec::Matchers::BuiltIn::Be#match 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Parser::GherkinBuilder::FeatureBuilder#background 
  0.01      0.000     0.000     0.000     0.000        2   <Class::Gherkin::CLexer::En>#allocate 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Proposal::Proposition#initialize 
  0.01      0.001     0.000     0.000     0.001        1   Cucumber::Formatter::Pretty#after_features 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::EmptyBackground#step_collection 
  0.01      0.001     0.000     0.000     0.001        1   Cucumber::Ast::TreeWalker#visit_exception 
  0.01      0.000     0.000     0.000     0.000        1   Exception#message 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::HasSteps#attach_steps 
  0.01      0.001     0.000     0.000     0.001        1   Motivation::MoteDefinitionFinder#find_mote_definition 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Formatter::TagCountFormatter#initialize 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Parser::GherkinBuilder::FeatureBuilder#add_child 
  0.01      0.000     0.000     0.000     0.000        2  *Motivation::Mote#motive_instance_resolver 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Lexer::I18nLexer#initialize 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::HasSteps#first_line_length 
  0.01      0.000     0.000     0.000     0.000        1   String#tr 
  0.01      0.000     0.000     0.000     0.000        1   <Module::Cucumber>#file_mode 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Proposal#call 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Runtime#fire_after_configuration_hook 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::HasLocation#line 
  0.01      0.000     0.000     0.000     0.000        1   Array#sort 
  0.01      0.000     0.000     0.000     0.000        2   String#size 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::TreeWalker#initialize 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Formatter::TagCountFormatter#uri 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::RbSupport::RbLanguage#end_scenario 
  0.01      0.000     0.000     0.000     0.000        2   Kernel#class 
  0.01      0.000     0.000     0.000     0.000        1   Enumerator#initialize 
  0.01      0.000     0.000     0.000     0.000        2   Module#to_s 
  0.01      0.000     0.000     0.000     0.000        2   Cucumber::Ast::DocString#to_step_definition_arg 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::TreeWalker#visit_feature_name 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::SourceConstantResolver#initialize 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::MoteBlock#motive_instance_resolvable? 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::RbSupport::RbLanguage#begin_scenario 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::Motive#initialize 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Runtime::FeaturesLoader#initialize 
  0.01      0.000     0.000     0.000     0.000        2   <Class::Hash>#allocate 
  0.01      0.000     0.000     0.000     0.000        2   Kernel#=~ 
  0.01      0.035     0.000     0.000     0.035        1   Cucumber::Ast::Features#each 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Parser::GherkinBuilder#language= 
  0.01      0.000     0.000     0.000     0.000        1   RSpec::Matchers::Pretty#split_words 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::LanguageSupport::LanguageMethods#execute_before 
  0.01      0.000     0.000     0.000     0.000        1   Array#slice! 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::TreeWalker#visit_scenario_name 
  0.01      0.000     0.000     0.000     0.000        1   RSpec::Matchers::Pretty#is_matcher_with_description? 
  0.01      0.000     0.000     0.000     0.000        1   Array#- 
  0.01      0.000     0.000     0.000     0.000        1   Motivation::MoteBlock#motive_instance! 
  0.01      0.000     0.000     0.000     0.000        1   Kernel#inspect 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Cli::Configuration#filters 
  0.01      0.000     0.000     0.000     0.000        1   RSpec::Matchers::BuiltIn::BaseMatcher#diffable? 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Console#print_passing_wip 
  0.01      0.000     0.000     0.000     0.000        1   RSpec::Matchers::BuiltIn::BaseMatcher#assert_ivars 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Cli::Configuration#dotcucumber 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Cli::Configuration#with_default_features_path 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Parser::Parser#pop_machine 
  0.01      0.033     0.000     0.000     0.033        7  *Object#cucumber_instance_exec 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::HasSteps#gherkin_statement 
  0.01      0.000     0.000     0.000     0.000        1   Gherkin::Parser::Parser::Machine::StateMachineReader#initialize 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Ast::StepCollection#initialize 
  0.01      0.000     0.000     0.000     0.000        1   Cucumber::Formatter::Pretty#scenario_name 
  0.01      0.000     0.000     0.000     0.000        2   String#rstrip! 
  0.01      0.000     0.000     0.000     0.000        1   BasicObject#singleton_method_added 
  0.01      0.000     0.000     0.000     0.000        2   Symbol#intern 
